,LocationAbbr,Mean_Veggie_Consump_Pct
0,AK,20.3875
1,AL,23.096
2,AR,22.42
3,AZ,22.55185185185185
4,CA,23.98148148148148
5,CO,21.96923076923077
6,CT,21.957692307692305
7,DC,18.475
8,DE,22.055999999999997
9,FL,22.5
10,GA,20.084615384615386
11,GU,26.912
12,HI,22.838461538461537
13,IA,24.608
14,ID,17.291666666666668
15,IL,25.596
16,IN,23.096153846153847
17,KS,21.634615384615383
18,KY,20.420833333333334
19,LA,26.448
20,MA,17.8
21,MD,23.35925925925926
22,ME,13.3375
23,MI,21.05185185185185
24,MN,23.68148148148148
25,MO,20.4
26,MS,23.30909090909091
27,MT,17.662499999999998
28,NC,18.53076923076923
29,ND,23.21666666666667
30,NE,23.126923076923074
31,NH,17.345454545454547
32,NM,24.136
33,NV,25.855999999999998
34,NY,23.711111111111112
35,OH,21.81153846153846
36,OK,23.128
37,OR,17.957692307692305
38,PA,21.976
39,PR,43.19047619047619
40,RI,21.588461538461537
41,SC,19.945833333333333
42,SD,18.370833333333334
43,TN,20.528000000000002
44,TX,23.55925925925926
45,US,22.164285714285715
46,UT,24.01923076923077
47,VA,19.96
48,VT,14.620833333333332
49,WA,21.192592592592593
50,WI,25.896
51,WV,20.09130434782609
52,WY,20.226086956521737
